"filename", "language", "JavaScript", "JSON", "HTML", "Properties", "PostCSS", "Markdown", "comment", "blank", "total"
"/Users/admin/Desktop/SignOutsJS/JS/.env", "Properties", 0, 0, 0, 6, 0, 0, 4, 4, 14
"/Users/admin/Desktop/SignOutsJS/JS/README.md", "Markdown", 0, 0, 0, 0, 0, 210, 0, 81, 291
"/Users/admin/Desktop/SignOutsJS/JS/package-lock.json", "JSON", 0, 3732, 0, 0, 0, 0, 0, 1, 3733
"/Users/admin/Desktop/SignOutsJS/JS/package.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 1, 39
"/Users/admin/Desktop/SignOutsJS/JS/public/css/base.css", "PostCSS", 0, 0, 0, 0, 40, 0, 1, 4, 45
"/Users/admin/Desktop/SignOutsJS/JS/public/css/buttons.css", "PostCSS", 0, 0, 0, 0, 98, 0, 1, 16, 115
"/Users/admin/Desktop/SignOutsJS/JS/public/css/forms.css", "PostCSS", 0, 0, 0, 0, 127, 0, 2, 22, 151
"/Users/admin/Desktop/SignOutsJS/JS/public/css/header.css", "PostCSS", 0, 0, 0, 0, 289, 0, 3, 44, 336
"/Users/admin/Desktop/SignOutsJS/JS/public/css/login.css", "PostCSS", 0, 0, 0, 0, 323, 0, 4, 50, 377
"/Users/admin/Desktop/SignOutsJS/JS/public/css/main.css", "PostCSS", 0, 0, 0, 0, 416, 0, 14, 72, 502
"/Users/admin/Desktop/SignOutsJS/JS/public/css/modals.css", "PostCSS", 0, 0, 0, 0, 252, 0, 6, 41, 299
"/Users/admin/Desktop/SignOutsJS/JS/public/css/notifications.css", "PostCSS", 0, 0, 0, 0, 149, 0, 1, 26, 176
"/Users/admin/Desktop/SignOutsJS/JS/public/css/tables.css", "PostCSS", 0, 0, 0, 0, 247, 0, 9, 40, 296
"/Users/admin/Desktop/SignOutsJS/JS/public/index.html", "HTML", 0, 0, 481, 0, 0, 0, 0, 51, 532
"/Users/admin/Desktop/SignOutsJS/JS/public/js/SoldierSignOutApp.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 16, 94
"/Users/admin/Desktop/SignOutsJS/JS/public/js/login.js", "JavaScript", 280, 0, 0, 0, 0, 0, 0, 82, 362
"/Users/admin/Desktop/SignOutsJS/JS/public/js/modules/auth-manager.js", "JavaScript", 207, 0, 0, 0, 0, 0, 0, 42, 249
"/Users/admin/Desktop/SignOutsJS/JS/public/js/modules/barcode-manager.js", "JavaScript", 123, 0, 0, 0, 0, 0, 0, 36, 159
"/Users/admin/Desktop/SignOutsJS/JS/public/js/modules/barcode-parser.js", "JavaScript", 149, 0, 0, 0, 0, 0, 0, 61, 210
"/Users/admin/Desktop/SignOutsJS/JS/public/js/modules/dom-manager.js", "JavaScript", 102, 0, 0, 0, 0, 0, 16, 21, 139
"/Users/admin/Desktop/SignOutsJS/JS/public/js/modules/event-manager.js", "JavaScript", 196, 0, 0, 0, 0, 0, 7, 32, 235
"/Users/admin/Desktop/SignOutsJS/JS/public/js/modules/logs-manager.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 23, 132
"/Users/admin/Desktop/SignOutsJS/JS/public/js/modules/modal-manager.js", "JavaScript", 488, 0, 0, 0, 0, 0, 1, 35, 524
"/Users/admin/Desktop/SignOutsJS/JS/public/js/modules/notifications.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 35, 118
"/Users/admin/Desktop/SignOutsJS/JS/public/js/modules/settings-manager.js", "JavaScript", 174, 0, 0, 0, 0, 0, 2, 43, 219
"/Users/admin/Desktop/SignOutsJS/JS/public/js/modules/signout-manager.js", "JavaScript", 225, 0, 0, 0, 0, 0, 0, 19, 244
"/Users/admin/Desktop/SignOutsJS/JS/public/js/modules/user-manager.js", "JavaScript", 271, 0, 0, 0, 0, 0, 2, 53, 326
"/Users/admin/Desktop/SignOutsJS/JS/public/js/modules/utils.js", "JavaScript", 162, 0, 0, 0, 0, 0, 0, 32, 194
"/Users/admin/Desktop/SignOutsJS/JS/public/js/modules/view-manager.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 29, 142
"/Users/admin/Desktop/SignOutsJS/JS/public/login.html", "HTML", 0, 0, 79, 0, 0, 0, 0, 16, 95
"/Users/admin/Desktop/SignOutsJS/JS/server.js", "JavaScript", 92, 0, 0, 0, 0, 0, 0, 32, 124
"/Users/admin/Desktop/SignOutsJS/JS/src/database/database.js", "JavaScript", 978, 0, 0, 0, 0, 0, 1, 209, 1188
"/Users/admin/Desktop/SignOutsJS/JS/src/routes/soldiers.js", "JavaScript", 520, 0, 0, 0, 0, 0, 1, 126, 647
"/Users/admin/Desktop/SignOutsJS/JS/src/routes/users.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 15, 143
"/Users/admin/Desktop/SignOutsJS/JS/src/utils/barcode-parser.js", "JavaScript", 150, 0, 0, 0, 0, 0, 0, 64, 214
"Total", "-", 4628, 3770, 560, 6, 1941, 210, 75, 1474, 12664
